Longitud de onda (nm),Absorbancia GOTAS LIMPIAR LENTES
733.318,0.169
733.58,0.17
733.842,0.171
734.104,0.172
734.366,0.173
734.629,0.173
734.891,0.174
735.153,0.175
735.415,0.175
735.677,0.174
735.939,0.174
736.201,0.173
736.463,0.173
736.725,0.174
736.987,0.174
737.25,0.174
737.512,0.174
737.774,0.174
738.036,0.174
738.298,0.173
738.56,0.172
738.823,0.173
739.085,0.174
739.347,0.175
739.609,0.175
739.871,0.175
740.134,0.175
740.396,0.176
740.658,0.177
740.92,0.177
741.183,0.177
741.445,0.177
741.707,0.178
741.97,0.177
742.232,0.176
742.495,0.175
742.757,0.174
743.019,0.174
743.282,0.173
743.544,0.173
743.807,0.173
744.069,0.174
744.332,0.175
744.594,0.176
744.857,0.176
745.12,0.176
745.382,0.176
745.645,0.177
745.908,0.177
746.17,0.177
746.433,0.176
746.696,0.176
746.959,0.175
747.221,0.174
747.484,0.174
747.747,0.174
748.01,0.173
748.273,0.173
748.536,0.173
748.799,0.173
749.062,0.172
749.325,0.172
749.588,0.173
749.851,0.174
750.114,0.175
750.378,0.176
750.641,0.176
750.904,0.177
751.167,0.177
751.431,0.177
751.694,0.177
751.957,0.176
752.221,0.175
752.484,0.175
752.748,0.174
753.011,0.174
753.275,0.174
753.538,0.173
753.802,0.173
754.066,0.174
754.329,0.174
754.593,0.174
754.857,0.173
755.121,0.172
755.385,0.173
755.649,0.173
755.913,0.174
756.177,0.174
756.441,0.173
756.705,0.173
756.969,0.173
757.233,0.173
757.497,0.172
757.762,0.172
758.026,0.172
758.29,0.172
758.555,0.171
758.819,0.172
759.084,0.173
759.348,0.174
759.613,0.175
759.877,0.176
760.142,0.177
760.407,0.178
760.672,0.179
760.936,0.179
761.201,0.179
761.466,0.178
761.731,0.178
761.996,0.177
762.261,0.177
762.526,0.177
762.792,0.176
763.057,0.175
763.322,0.175
763.587,0.175
763.853,0.176
764.118,0.177
764.384,0.179
764.649,0.18
764.915,0.181
765.181,0.182
765.446,0.182
765.712,0.182
765.978,0.182
766.244,0.181
766.51,0.18
766.776,0.179
767.042,0.179
767.308,0.178
767.574,0.178
767.84,0.178
768.106,0.178
768.373,0.178
768.639,0.178
768.906,0.177
769.172,0.177
769.439,0.177
769.705,0.177
769.972,0.178
770.239,0.178
770.505,0.178
770.772,0.177
771.039,0.177
771.306,0.175
771.573,0.176
771.84,0.177
772.107,0.178
772.374,0.178
772.642,0.179
772.909,0.178
773.176,0.178
773.444,0.178
773.711,0.179
773.979,0.179
774.246,0.179
774.514,0.179
774.782,0.179
775.05,0.178
775.317,0.178
775.585,0.178
775.853,0.177
776.121,0.177
776.389,0.176
